196;0;390.00;10.32;1924.00;0.00;0.76
381;0;491.00;16.50;2031.00;0.00;0.56
598;0;549.00;16.57;1357.00;0.00;0.40
656;0;375.00;10.00;2031.00;0.00;0.36
815;0;418.00;10.20;2160.00;0.00;0.40
987;0;693.00;13.52;2077.00;0.00;0.60
991;0;788.00;9.80;920.00;0.00;0.56
995;0;576.00;11.57;1949.00;0.00;0.76
1057;0;566.00;11.57;2049.00;0.00;0.68
1132;0;522.00;9.82;998.00;0.00;0.60
1204;0;476.00;9.80;1244.00;0.00;0.44
1227;0;445.00;15.60;1789.00;0.00;0.80
1283;0;432.00;13.15;2654.00;0.00;1.24
1317;0;378.00;10.75;1274.00;0.00;0.48
1671;0;856.00;13.67;1137.00;0.00;0.84
1672;0;726.00;12.95;1019.00;0.00;0.64
1833;0;838.00;13.85;1107.00;0.00;0.40
1960;0;353.00;10.40;1885.00;0.00;0.40
2043;0;832.00;9.75;846.00;0.00;0.48
2319;0;572.00;13.12;989.00;0.00;0.72
2672;0;603.00;11.52;970.00;0.00;0.60
2871;0;554.00;16.77;1370.00;0.00;0.32
2899;0;345.00;10.17;1909.00;0.00;0.64
3039;0;540.00;11.10;1003.00;0.00;0.80
3136;0;433.00;10.87;2120.00;0.00;0.64
3154;0;443.00;9.90;1168.00;0.00;0.52
3244;0;848.00;15.97;1070.00;0.00;0.68
3295;0;714.00;12.50;926.00;0.00;0.44
3342;0;333.00;10.35;1783.00;0.00;0.64
3349;0;396.00;11.02;1231.00;0.00;0.52
3485;0;713.00;13.40;2075.00;0.00;0.40
3622;0;569.00;12.62;1975.00;0.00;0.72
3631;0;369.00;11.02;1807.00;0.00;0.52
3636;0;417.00;10.50;2066.00;0.00;0.60
3703;0;642.00;11.65;1967.00;0.00;0.88
3844;0;555.00;10.20;1169.00;0.00;0.52
3934;0;521.00;13.37;2067.00;0.00;0.80
3984;0;547.00;18.72;1388.00;0.00;0.52
4030;0;296.00;11.55;1525.00;0.00;1.00
4131;0;428.00;10.17;1374.00;0.00;0.40
4174;0;347.00;12.12;1627.00;0.00;0.48
4352;0;326.00;10.80;2153.00;0.00;0.60
4468;0;547.00;17.00;1412.00;0.00;0.52
4555;0;385.00;12.30;1784.00;0.00;0.76
4611;0;516.00;12.95;2037.00;0.00;0.60
4646;0;708.00;13.40;2004.00;0.00;0.76
4668;0;567.00;10.15;1159.00;0.00;0.36
4733;0;408.00;10.52;2038.00;0.00;0.52
5014;0;419.00;9.95;2130.00;0.00;0.48
5144;0;438.00;11.95;1144.00;0.00;0.64
5313;0;400.00;9.80;2151.00;0.00;0.32
5326;0;503.00;9.97;1227.00;0.00;0.60
5381;0;530.00;10.00;1183.00;0.00;0.52
5412;0;720.00;14.20;978.00;0.00;0.44
5534;0;336.00;10.97;1708.00;0.00;0.60
5720;0;380.00;14.37;1651.00;0.00;0.80
5897;0;616.00;11.22;1116.00;0.00;0.64
5994;0;867.00;15.25;1050.00;0.00;0.52
6156;0;331.00;11.05;1850.00;0.00;0.64
6177;0;335.00;10.27;1812.00;0.00;0.56
6235;0;512.00;11.17;1985.00;0.00;0.68
6629;0;400.00;10.35;1903.00;0.00;0.36
6683;0;427.00;10.25;1190.00;0.00;0.52
6698;0;830.00;13.90;1133.00;0.00;0.56
6829;0;362.00;10.45;1964.00;0.00;0.60
6845;0;318.00;10.57;1948.00;0.00;0.64
6849;0;432.00;9.80;1327.00;0.00;0.64
7233;0;426.00;10.80;2058.00;0.00;0.44
7239;0;360.00;11.22;2030.00;0.00;0.36
7240;0;392.00;10.10;2040.00;0.00;0.52
7261;0;695.00;12.45;2094.00;0.00;0.44
7272;0;718.00;14.00;2093.00;0.00;0.36
7341;0;364.00;9.97;1899.00;0.00;0.56
7347;0;337.00;11.27;1883.00;0.00;0.40
7361;0;425.00;13.50;1887.00;0.00;0.52
7363;0;347.00;10.22;1871.00;0.00;0.36
7445;0;355.00;10.55;1770.00;0.00;0.48
7454;0;465.00;14.15;1795.00;0.00;0.64
7589;0;288.00;12.00;1583.00;0.00;0.64
7607;0;374.00;16.22;1616.00;0.00;0.52
7942;0;434.00;12.37;1427.00;0.00;0.92
