2;292.00;13.05;2201.00;big
2;154.00;11.88;2288.00;big
3;847.00;14.18;2659.00;big
3;971.00;13.90;2398.00;big
4;686.00;13.15;2061.00;big
4;495.00;13.70;2055.00;big
5;346.00;16.90;2085.00;big
5;357.00;9.90;2013.00;big
6;323.00;13.57;1680.00;big
6;364.00;10.00;1867.00;big
7;931.00;17.90;1734.00;big
7;620.00;15.82;1772.00;big
8;416.00;12.85;1526.00;big
8;403.00;9.90;1370.00;big
9;398.00;9.80;1290.00;big
9;425.00;9.80;1220.00;big
10;479.00;9.90;1262.00;big
10;456.00;9.80;1318.00;big
11;543.00;9.98;1160.00;big
11;609.00;10.32;1057.00;big
12;464.00;10.98;1147.00;big
12;562.00;15.98;1016.00;big
13;642.00;11.55;976.00;big
13;682.00;9.88;925.00;big
14;915.00;17.33;1386.00;big
14;651.00;16.33;1319.00;big
15;566.00;17.98;1395.00;big
15;554.00;16.77;1370.00;big
16;838.00;13.85;1107.00;big
16;873.00;9.50;1065.00;big
17;818.00;14.23;2088.00;big
17;978.00;18.38;1998.00;big
18;1277.00;13.88;2050.00;big
18;1582.00;13.53;1956.00;big
19;563.00;14.20;2364.00;big
19;258.00;14.00;2606.00;big
20;1170.00;12.28;522.00;big
20;1580.00;15.50;205.00;big
21;740.00;10.68;868.00;big
21;821.00;9.50;873.00;big
22;745.00;19.65;965.00;big
22;951.00;11.00;874.00;big
23;965.00;18.45;1082.00;big
23;1025.00;16.68;986.00;big
24;1192.00;20.30;1077.00;big
24;1249.00;22.30;1237.00;big
25;1057.00;11.68;886.00;big
25;1025.00;11.82;924.00;big
26;1146.00;17.48;929.00;big
26;1157.00;16.15;774.00;big
27;1112.00;20.18;1446.00;big
27;1018.00;15.95;1552.00;big
28;1131.00;19.93;1667.00;big
28;1253.00;19.48;1588.00;big
29;1222.00;17.58;1755.00;big
29;1142.00;22.85;1806.00;big
30;1391.00;17.02;1769.00;big
30;1436.00;17.68;1600.00;big
31;1356.00;12.75;2335.00;big
31;1379.00;12.50;2643.00;big
32;1362.00;24.08;1425.00;big
32;1239.00;19.25;1429.00;big
33;1451.00;20.05;1364.00;big
33;1439.00;17.55;1420.00;big
34;1482.00;16.12;1053.00;big
34;1487.00;18.73;1347.00;big
35;1304.00;17.15;834.00;big
35;1479.00;15.00;872.00;big
37;1628.00;14.45;903.00;big
37;1648.00;14.57;1098.00;big
38;1468.00;15.70;737.00;big
38;1580.00;15.57;635.00;big
39;1758.00;12.53;640.00;big
39;1821.00;11.70;840.00;big
40;1821.00;10.15;463.00;big
40;1850.00;9.80;308.00;big
41;1913.00;9.90;511.00;big
41;1877.00;9.80;410.00;big
42;1897.00;10.57;732.00;big
42;1925.00;10.32;824.00;big
43;1843.00;11.20;589.00;big
43;1909.00;10.38;619.00;big
44;1997.00;10.60;862.00;big
44;2030.00;10.15;687.00;big
45;1991.00;9.80;561.00;big
45;2009.00;9.82;600.00;big
46;1994.00;10.95;988.00;big
46;1835.00;11.48;998.00;big
47;1989.00;10.68;1123.00;big
47;1873.00;11.23;1091.00;big
48;1925.00;12.15;1849.00;big
48;1867.00;11.35;2065.00;big
49;1841.00;12.50;1616.00;big
49;1939.00;11.40;1539.00;big
50;1596.00;15.30;1581.00;big
50;1816.00;12.55;1517.00;big
51;1706.00;13.82;1312.00;big
51;1899.00;11.70;1305.00;big
52;2060.00;11.07;1359.00;big
52;1987.00;11.32;1355.00;big
53;1829.00;11.05;2360.00;big
53;1897.00;10.78;2673.00;big
54;2111.00;11.73;2057.00;big
54;2118.00;11.23;1932.00;big
55;2129.00;11.18;1842.00;big
55;2103.00;11.20;1863.00;big
56;1989.00;11.73;1690.00;big
56;2155.00;11.53;1722.00;big
57;2140.00;11.28;1604.00;big
57;2097.00;11.00;1577.00;big
58;2217.00;10.75;1593.00;big
58;2105.00;11.18;1473.00;big
59;2121.00;10.78;987.00;big
59;2144.00;11.70;1226.00;big
60;2257.00;10.00;1091.00;big
60;2208.00;10.00;989.00;big
61;2158.00;10.20;797.00;big
61;2157.00;9.80;655.00;big
62;2269.00;9.80;578.00;big
62;2275.00;9.80;646.00;big
63;2772.00;11.15;2159.00;big
63;2336.00;11.40;2429.00;big
64;3097.00;10.65;1832.00;big
64;3195.00;10.00;1883.00;big
65;2916.00;10.62;1725.00;big
65;2954.00;10.95;1796.00;big
66;2855.00;11.75;1758.00;big
66;2779.00;10.62;1662.00;big
67;2528.00;10.70;1950.00;big
67;2409.00;12.30;2000.00;big
68;2248.00;11.45;1892.00;big
68;2315.00;11.25;1743.00;big
69;2408.00;11.10;1706.00;big
69;2424.00;10.78;1823.00;big
70;2424.00;10.65;1573.00;big
70;2424.00;10.88;1631.00;big
71;2394.00;10.85;1489.00;big
71;2335.00;10.78;1569.00;big
72;2395.00;10.40;1313.00;big
72;2290.00;10.62;1366.00;big
73;2718.00;10.98;1710.00;big
73;2686.00;11.05;1627.00;big
74;2583.00;11.65;1798.00;big
74;2639.00;11.68;1864.00;big
75;2600.00;10.95;1711.00;big
75;2577.00;11.05;1623.00;big
76;2559.00;11.05;1545.00;big
76;2543.00;10.90;1431.00;big
77;2518.00;10.78;1321.00;big
77;2512.00;10.55;1215.00;big
78;2500.00;10.82;1096.00;big
78;2665.00;11.43;1115.00;big
79;2394.00;10.50;1160.00;big
79;2358.00;10.28;1072.00;big
80;2373.00;10.18;938.00;big
80;2299.00;9.90;932.00;big
81;2334.00;10.45;803.00;big
81;2295.00;10.20;733.00;big
82;2410.00;9.80;677.00;big
82;2354.00;9.95;655.00;big
83;2528.00;10.35;753.00;big
83;2442.00;10.25;846.00;big
84;2481.00;10.70;989.00;big
84;2528.00;10.60;894.00;big
85;2681.00;10.93;1304.00;big
85;2661.00;10.93;1388.00;big
86;2660.00;11.15;1448.00;big
86;2743.00;11.55;1451.00;big
87;2814.00;11.10;1540.00;big
87;2680.00;10.88;1524.00;big
88;2632.00;11.28;1209.00;big
88;2723.00;11.68;1221.00;big
89;2682.00;11.05;958.00;big
89;2605.00;11.12;940.00;big
90;2700.00;10.12;722.00;big
90;2700.00;10.18;837.00;big
91;2762.00;9.90;631.00;big
91;2743.00;9.90;582.00;big
92;2667.00;9.88;623.00;big
92;2515.00;9.98;661.00;big
93;2747.00;9.93;450.00;big
